year,month,TOTAL,ClimAdjust,ANOM
1980,1,27.09,26.39,0.7
1980,2,26.98,26.59,0.39
1980,3,27.32,27.04,0.28
1980,4,27.76,27.42,0.34
1980,5,28.02,27.51,0.51
1980,6,27.94,27.35,0.59
1980,7,27.23,26.95,0.28
1980,8,26.48,26.59,-0.11
1980,9,26.44,26.51,-0.07
1980,10,26.46,26.48,-0.02
1980,11,26.6,26.46,0.14
1980,12,26.65,26.43,0.22
1981,1,26.19,26.57,-0.38
1981,2,26.12,26.75,-0.62
1981,3,26.66,27.17,-0.51
1981,4,27.3,27.59,-0.29
1981,5,27.36,27.66,-0.3
1981,6,27.27,27.46,-0.19
1981,7,26.65,27.02,-0.37
1981,8,26.32,26.64,-0.32
1981,9,26.52,26.56,-0.04
1981,10,26.42,26.53,-0.11
1981,11,26.29,26.52,-0.23
1981,12,26.4,26.51,-0.11
1982,1,26.68,26.57,0.11
1982,2,26.6,26.75,-0.15
1982,3,27.42,27.17,0.25
1982,4,28.03,27.59,0.45
1982,5,28.39,27.66,0.72
1982,6,28.26,27.46,0.8
1982,7,27.66,27.02,0.64
1982,8,27.58,26.64,0.93
1982,9,28.2,26.56,1.64
1982,10,28.69,26.53,2.16
1982,11,28.61,26.52,2.09
1982,12,28.79,26.51,2.28
1983,1,28.88,26.57,2.32
1983,2,28.69,26.75,1.94
1983,3,28.67,27.17,1.49
1983,4,28.77,27.59,1.19
1983,5,28.84,27.66,1.18
1983,6,28.28,27.46,0.82
1983,7,27.19,27.02,0.17
1983,8,26.6,26.64,-0.04
1983,9,26.2,26.56,-0.36
1983,10,25.57,26.53,-0.96
1983,11,25.42,26.52,-1.1
1983,12,25.58,26.51,-0.94
1984,1,25.88,26.57,-0.69
1984,2,26.57,26.75,-0.18
1984,3,26.78,27.17,-0.39
1984,4,27.15,27.59,-0.44
1984,5,27.2,27.66,-0.46
1984,6,26.83,27.46,-0.63
1984,7,26.78,27.02,-0.24
1984,8,26.6,26.64,-0.04
1984,9,26.38,26.56,-0.19
1984,10,26.04,26.53,-0.49
1984,11,25.52,26.52,-1
1984,12,25.26,26.51,-1.25
1985,1,25.39,26.57,-1.17
1985,2,26.04,26.75,-0.71
1985,3,26.5,27.17,-0.67
1985,4,26.65,27.59,-0.93
1985,5,26.91,27.66,-0.75
1985,6,26.81,27.46,-0.65
1985,7,26.55,27.02,-0.47
1985,8,26.29,26.64,-0.35
1985,9,26.02,26.56,-0.55
1985,10,26.23,26.53,-0.3
1985,11,26.33,26.52,-0.2
1985,12,26.19,26.51,-0.32
1986,1,25.89,26.46,-0.56
1986,2,26.06,26.66,-0.6
1986,3,26.88,27.14,-0.26
1986,4,27.49,27.58,-0.08
1986,5,27.41,27.68,-0.27
1986,6,27.42,27.43,-0.01
1986,7,27.18,27.01,0.17
1986,8,27.17,26.66,0.51
1986,9,27.24,26.59,0.65
1986,10,27.51,26.54,0.98
1986,11,27.7,26.5,1.2
1986,12,27.71,26.47,1.24
1987,1,27.68,26.46,1.22
1987,2,27.89,26.66,1.23
1987,3,28.27,27.14,1.13
1987,4,28.4,27.58,0.82
1987,5,28.56,27.68,0.88
1987,6,28.64,27.43,1.21
1987,7,28.58,27.01,1.57
1987,8,28.41,26.66,1.76
1987,9,28.36,26.59,1.77
1987,10,27.95,26.54,1.42
1987,11,27.77,26.5,1.27
1987,12,27.54,26.47,1.07
1988,1,27.45,26.46,0.99
1988,2,27.04,26.66,0.37
1988,3,27.39,27.14,0.25
1988,4,27.38,27.58,-0.19
1988,5,26.68,27.68,-1
1988,6,25.99,27.43,-1.44
1988,7,25.56,27.01,-1.45
1988,8,25.67,26.66,-0.99
1988,9,25.72,26.59,-0.87
1988,10,24.82,26.54,-1.71
1988,11,24.66,26.5,-1.85
1988,12,24.64,26.47,-1.83
1989,1,24.59,26.46,-1.87
1989,2,25.29,26.66,-1.37
1989,3,26.09,27.14,-1.05
1989,4,26.75,27.58,-0.82
1989,5,27.07,27.68,-0.61
1989,6,27.14,27.43,-0.29
1989,7,26.71,27.01,-0.3
1989,8,26.32,26.66,-0.33
1989,9,26.41,26.59,-0.18
1989,10,26.32,26.54,-0.22
1989,11,26.25,26.5,-0.25
1989,12,26.46,26.47,-0.01
1990,1,26.56,26.46,0.11
1990,2,26.98,26.66,0.31
1990,3,27.34,27.14,0.2
1990,4,27.9,27.58,0.33
1990,5,28.02,27.68,0.34
1990,6,27.65,27.43,0.21
1990,7,27.38,27.01,0.37
1990,8,27.07,26.66,0.42
1990,9,26.94,26.59,0.35
1990,10,26.93,26.54,0.4
1990,11,26.81,26.5,0.31
1990,12,26.96,26.47,0.48
1991,1,27.04,26.59,0.45
1991,2,27.08,26.79,0.29
1991,3,27.33,27.28,0.05
1991,4,28.02,27.7,0.32
1991,5,28.2,27.8,0.4
1991,6,28.25,27.6,0.65
1991,7,28.05,27.19,0.86
1991,8,27.53,26.84,0.69
1991,9,27.14,26.78,0.36
1991,10,27.58,26.76,0.82
1991,11,27.89,26.7,1.19
1991,12,28.28,26.66,1.62
1992,1,28.37,26.59,1.78
1992,2,28.53,26.79,1.74
1992,3,28.66,27.28,1.38
1992,4,29.02,27.7,1.32
